material,energy,delta,beta
C,10,4.154926251209902e-06,4.482570440424688e-09
O,10,2.977826727846308e-09,8.11479089348368e-12
Au,10,2.9772005470345502e-05,2.17739689566244e-06
Si,10,4.887681710787822e-06,7.561366075448438e-08
C,11,3.4326608950264273e-06,3.1097181810914285e-09
O,11,2.459419045828229e-09,5.549528052834362e-12
Au,11,2.419666623899558e-05,1.5439872239533954e-06
Si,11,4.032635218369391e-06,5.173676624924872e-08
C,12,2.883618107650594e-06,2.2486171041373973e-09
O,12,2.065519853716605e-09,3.936690083555414e-12
Au,12,1.8857077059661633e-05,2.8932817277312446e-06
Si,12,3.3835985617967872e-06,3.662663235931045e-08
C,13,2.4565176873292853e-06,1.6831757179542456e-09
O,13,1.7592193531224443e-09,2.882812261534502e-12
Au,13,1.7369968111443902e-05,2.147183939034663e-06
Si,13,2.879452672590012e-06,2.668172836371199e-08
C,14,2.1177476810952587e-06,1.2982480580659247e-09
O,14,1.5163443995893482e-09,2.1697412657970494e-12
Au,14,1.4788108165364963e-05,2.2717573184545674e-06
Si,14,2.4801735191772677e-06,1.9917420044273784e-08
C,15,1.844526919673792e-06,1.02806318268818e-09
O,15,1.3205179413132301e-09,1.6728595863752413e-12
Au,15,1.331484474579784e-05,2.0488485627695874e-06
Si,15,2.1585581932077097e-06,1.5185539117521245e-08
C,16,1.6209707574408804e-06,8.331835684788751e-10
O,16,1.16032620084176e-09,1.3175985405726382e-12
Au,16,1.2015735459369372e-05,1.6300254950850704e-06
Si,16,1.895697326094528e-06,1.1794090300843175e-08
C,17,1.4357315341592565e-06,6.891078519058797e-10
O,17,1.0276180593896251e-09,1.0576813544883615e-12
Au,17,1.0791186049582101e-05,1.3138629043899483e-06
Si,17,1.6781025150504427e-06,9.310679583087715e-09
C,18,1.280526609779736e-06,5.80178950270066e-10
O,18,9.164466329025569e-10,8.635395951582958e-13
Au,18,9.704947445408284e-06,1.071840530185607e-06
Si,18,1.495947103734509e-06,7.457379493100077e-09
C,19,1.149196607188574e-06,4.961046811638692e-10
O,19,8.223909237548346e-10,7.15746067348155e-13
Au,19,8.753341111890906e-06,8.83696618483375e-07
Si,19,1.3419313815918192e-06,6.050681036878426e-09
C,20,1.0370834377142507e-06,4.302989707806811e-10
O,20,7.421084180095833e-10,6.015953159233558e-13
Au,20,7.924798876466541e-06,7.356385656861569e-07
Si,20,1.2105430454480009e-06,4.967396633790482e-09
C,21,9.406126786214471e-07,3.7824837763293244e-10
