energy,photons,n_squared,beta,visibility,detector_efficiency,absorbed_in_sample,total_weight,total_weight_no_vis
20.0,7677364.0,1.89288993353e-12,3.23496968359e-09,0.636619772368,0.999999998206,0.000382378783438,306.186210962,480.956175495
21.0,8107793.0,1.55650411478e-12,2.69781390179e-09,0.513514217281,0.999999976101,0.00101731886904,854.632001663,1664.28109077
22.0,8508024.0,1.29164994041e-12,2.27230115112e-09,0.274798182959,0.999999795996,0.00228786335476,1286.0290807,4679.9038729
23.0,8858380.0,1.08082086123e-12,1.93102754963e-09,0.089299145813,0.999998774001,0.00450831283228,994.896088126,11141.1601877
24.0,9161358.0,9.1131107578e-13,1.65645708795e-09,0.0110374516635,0.99999449237,0.00794494175051,254.500499031,23057.9038341
25.0,9416509.0,7.73774044838e-13,1.43160724066e-09,9.35411414451e-48,0.999980254478,0.0128681477753,4.00659600894e-43,42832.4472745
26.0,9639997.0,6.61236964462e-13,1.24632567704e-09,0.0087255638568,0.999941261506,0.0194246780909,635.099367853,72786.0546638
27.0,9810562.0,5.68436863312e-13,1.09131195374e-09,0.0575488020664,0.9998483625,0.0277714148555,6633.55555681,115268.351705
28.0,9935972.0,4.91363745094e-13,9.60524609573e-10,0.154300802901,0.999653136846,0.0379653585988,26535.0859488,171969.850123
29.0,10033170.0,4.26922156008e-13,8.51051261309e-10,0.281852630732,0.999290699438,0.0496986469012,68471.4484126,242933.508319
30.0,10084410.0,3.72708718062e-13,7.57444194085e-10,0.413496671566,0.998669083977,0.0630556989573,135797.51209,328412.588125
31.0,10112990.0,3.26834565449e-13,6.78768484315e-10,0.524981867908,0.99770898881,0.0773648186397,223228.381264,425211.602361
32.0,10087790.0,2.87806868698e-13,6.10552335801e-10,0.600622975292,0.996285614576,0.0928954797038,319896.062536,532607.10245
33.0,10057380.0,2.54435354982e-13,5.52574826842e-10,0.634458998826,0.994346309563,0.108844172076,410404.443879,646857.314088
34.0,10014840.0,2.25763672305e-13,5.01834597074e-10,0.628507353992,0.991762351455,0.125528710767,483033.236596,768540.309875
35.0,9935079.0,2.01019869392e-13,4.58040898805e-10,0.589926134246,0.988524309505,0.142298039717,525068.448572,890057.954872
36.0,9814015.0,1.79575068879e-13,4.19593318129e-10,0.528247648301,0.984553186652,0.159263129906,533164.813234,1009308.44642
37.0,9706238.0,1.6091561225e-13,3.85745545953e-10,0.453238008358,0.979832906286,0.176239587115,511643.913547,1128863.65246
38.0,9581190.0,1.44618162233e-13,3.56158435682e-10,0.37352150697,0.974442524827,0.19280372169,463789.910292,1241668.55626
